"From","To","from","to"
"CAMK2A","CAMK2A",349,349
"MAPK14","HNF4A",1643,1274
"PRKAA2","HNF4A",2290,1274
"NEK6","SGK1",1863,2688
"PDPK1","SGK1",2089,2688
"MAPK7","SGK1",1648,2688
"PRKCA","SNAP23",2299,2801
"CDK19","EIF3F",486,853
"CDK2","CDC7",487,465
"ABL1","WASL",12,3286
"MAPK13","EEF2K",1642,835
"PRKACA","EEF2K",2292,835
"RPS6KB1","EEF2K",2594,835
"PRKAA2","EEF2K",2290,835
"PRKAA1","EEF2K",2289,835
"RPS6KA1","EEF2K",2588,835
"MAPKAPK2","EEF2K",1654,835
"MAPKAPK3","EEF2K",1655,835
"MAPKAPK5","EEF2K",1656,835
"MAPK8","EEF2K",1649,835
"MAPK9","EEF2K",1652,835
"MAPK12","EEF2K",1641,835
"MAPK11","EEF2K",1640,835
"MAPK14","EEF2K",1643,835
"STK25","STK25",2918,2918
"PRKAA2","ACACB",2290,17
"AKT1","SH2B2",88,2695
"FYN","ARHGAP33",1050,160
"CAMK2A","ITGB1BP1",349,1387
"GRK6","SLC9A3R1",1157,2770
"AKT1","TERT",88,3024
"SRC","TERT",2863,3024
"AKT1","CHEK1",88,552
"ATR","CHEK1",221,552
"NEK2","NDC80",1859,1835
"EGFR","SCAMP3",838,2640
"IKBKB","IKBKB",1333,1333
"CHUK","IKBKB",563,1333
"MAP3K7","IKBKB",1627,1333
"PRKCQ","IKBKB",2306,1333
"PRKCZ","IKBKB",2307,1333
"MAP3K14","IKBKB",1619,1333
"EGFR","PLD2",838,2187
"CSNK2A2","CASQ2",637,378
"CSNK2A1","CASQ2",636,378
"EGFR","HGS",838,1246
"PRKACA","AURKA",2292,227
"DMPK","PPP1R12A",755,2246
"ILK","PPP1R12A",1347,2246
"ROCK1","PPP1R12A",2558,2246
"ROCK2","PPP1R12A",2559,2246
"CSNK1E","PER2",632,2101
"CSNK1D","PER2",631,2101
"PRKCQ","CHUK",2306,563
"MAP3K14","CHUK",1619,563
"AKT1","CHUK",88,563
"AKT2","CHUK",90,563
"FYN","FYB1",1050,1049
"EGFR","SCAMP1",838,2639
"PAK1","ARPC1B",2021,177
"CHEK1","MDM4",552,1698
"CHEK2","MDM4",553,1698
"AKT1","MDM4",88,1698
"ATM","MDM4",209,1698
"PRKCD","PLSCR1",2301,2202
"ABL1","PLSCR1",12,2202
"GSK3B","AXIN1",1164,233
"MAP2K6","MAPK13",1612,1642
"CSNK2A1","SHOX",636,2713
"TTN","TCAP",3175,3009
"CDK1","FANCG",475,955
"CDK1","TP73",475,3102
"CDK2","TP73",487,3102
"ABL1","TP73",12,3102
"SRC","INPPL1",2863,1357
"AKT1","FANCA",88,952
"CSNK2A1","HDAC3",636,1232
"CDK1","BIRC5",475,280
"EGFR","RGS16",838,2517
"LYN","RGS16",1583,2517
"SRC","RGS16",2863,2517
"CSK","RGS16",628,2517
"MAPKAPK2","ARPC5",1654,178
"PDPK1","PDPK1",2089,2089
"SRC","PDPK1",2863,2089
"PRKACA","CLDN3",2292,576
"MAPK14","ZNHIT1",1643,3375
"MAP3K7","MAP3K7",1627,1627
"CAMK1","EIF4G3",346,862
"PRKCQ","WIPF1",2306,3295
"MAPK8","BCL2L11",1649,263
"MAPK9","BCL2L11",1652,263
"MAPK10","BCL2L11",1639,263
"SGK1","FOXO3",2688,1033
"AKT1","FOXO3",88,1033
"PRKCA","KCNQ2",2299,1451
"NTRK2","FRS3",1967,1039
"ZAP70","LAT",3339,1524
"PRKACA","RGS14",2292,2516
"ABL1","PSTPIP1",12,2349
"CDK5","DCX",492,702
"CDK2","PRC1",487,2279
"PRKACA","RGS10",2292,2514
"CDK1","BUB1",475,315
"CSNK2A2","KIF1C",637,1471
"CSNK2A1","KIF1C",636,1471
"SYK","TYROBP",2963,3196
"MAPK9","SH3BP5",1652,2701
"MAPK12","SH3BP5",1641,2701
"PRKACA","PLIN1",2292,2193
"CAMK2G","ADCY3",352,47
"CDK5","PIP5K1C",492,2161
"PRKCA","DLX3",2299,752
"LYN","DOK2",1583,775
"HCK","DOK2",1225,775
"SRC","DOK2",2863,775
"JAK2","JAK2",1403,1403
"ABL1","JAK2",12,1403
"GSK3B","CTNND1",1164,649
"SRC","CTNND1",2863,649
"EGFR","CTNND1",838,649
"PRKACA","PFKFB2",2292,2106
"AKT1","PFKFB2",88,2106
"PRKAA2","PFKFB2",2290,2106
"PRKAA1","PFKFB2",2289,2106
"PRKCA","PFKFB2",2299,2106
"PRKCA","EDF1",2299,827
"ATM","NBN",209,1812
"CSNK2A1","NOL3",636,1913
"GSK3B","MITF",1164,1729
"EPHB4","SDC3",904,2655
"CSNK2A1","VAMP4",636,3256
"DYRK1A","SF3B1",811,2684
"CDK5","DAB1",492,672
"SRC","DAB1",2863,672
"GSK3B","LRP6",1164,1568
"MAPK3","RPS6KA5",1645,2592
"MAPK1","RPS6KA5",1638,2592
"MAPK14","RPS6KA5",1643,2592
"FYN","TOM1L1",1050,3090
"MAP2K1","RPS6KA4",1607,2591
"MAPK14","RPS6KA4",1643,2591
"RPS6KA4","RPS6KA4",2591,2591
"PRKCA","ADAP1",2299,43
"PRKCE","ADAP1",2302,43
"EGFR","STAM2",838,2893
"PAK3","PAK3",2023,2023
"CHUK","PIAS1",563,2135
"ATM","RAD17",209,2416
"ATR","RAD17",221,2416
"GSK3B","CABYR",1164,331
"PTK2","TRIO",2358,3134
"GRK5","SNCG",1156,2808
"PRKG1","PDE5A",2312,2074
"STK10","STK10",2911,2911
"PRKACA","SNAPIN",2292,2804
"SRC","MPZL1",2863,1750
"MAP3K6","MAP3K6",1626,1626
"PRKACA","ABCA1",2292,6
"BMPR1B","STAMBP",290,2894
"PRKCA","NFATC1",2299,1877
"MAPKAPK2","BAG2",1654,240
"CDK1","LATS1",475,1526
"CDK1","PTTG1",475,2383
"PRKACA","PPP1R17",2292,2255
"PRKG1","PPP1R17",2312,2255
"PRKCA","HAND1",2299,1218
"PRKACA","HAND1",2292,1218
"PAK4","PAK4",2024,2024
"ATM","CHEK2",209,553
"ATR","CHEK2",221,553
"CHEK2","CHEK2",553,553
"PLK1","CHEK2",2196,553
"PLK3","CHEK2",2198,553
"ATM","ABL1",209,12
"CDK1","ABL1",475,12
"ABL1","ABL1",12,12
"SRC","ABL1",2863,12
"CAMK2A","EGFR",349,838
"CAMK2G","EGFR",352,838
"PRKCD","EGFR",2301,838
"EGFR","EGFR",838,838
"JAK2","EGFR",1403,838
"ERBB2","EGFR",913,838
"SRC","EGFR",2863,838
"CSNK2A1","C1R",636,322
"PRKACA","FOS",2292,1019
"RPS6KA1","FOS",2588,1019
"MAPK1","FOS",1638,1019
"MAPK8","MYC",1649,1778
"CSNK2A2","MYC",637,1778
"GSK3B","MYC",1164,1778
"CSNK2A1","MYC",636,1778
"PDIK1L","TNF",2083,3074
"SRC","HLA-B",2863,1262
"CDK1","LMNA",475,1555
"PRKCA","LMNA",2299,1555
"PRKCA","MBP",2299,1681
"PRKACA","MBP",2292,1681
"MAPK1","MBP",1638,1681
"LYN","SLC4A1",1583,2759
"SYK","SLC4A1",2963,2759
"MAPK1","ESR1",1638,926
"CDK7","ESR1",496,926
"RPS6KA1","ESR1",2588,926
"AKT1","ESR1",88,926
"AKT2","ESR1",90,926
"RPS6KA3","ESR1",2590,926
"PAK1","ESR1",2021,926
"MAPK14","ESR1",1643,926
"LCK","ESR1",1530,926
"SRC","ESR1",2863,926
"PRKCG","VTN",2303,3279
"PRKCB","VTN",2300,3279
"PRKCA","VTN",2299,3279
"PRKACA","VTN",2292,3279
"CSNK2A1","VTN",636,3279
"PRKACA","HMGCR",2292,1266
"ABL2","CAT",13,382
"PRKACA","RAF1",2292,2424
"AKT1","RAF1",88,2424
"MAPK1","RAF1",1638,2424
"PAK3","RAF1",2023,2424
"SRC","RAF1",2863,2424
"PAK1","RAF1",2021,2424
"PRKCA","RAF1",2299,2424
"RAF1","RAF1",2424,2424
"PRKAA1","RAF1",2289,2424
"JAK2","RAF1",1403,2424
"PRKCI","ANXA1",2305,118
"TRPM7","ANXA1",3150,118
"SRC","ANXA1",2863,118
"MAPK1","NR3C1",1638,1944
"MAPK8","NR3C1",1649,1944
"PRKDC","NR3C1",2311,1944
"CDK1","TK1",475,3062
"CSNK2A2","MYCN",637,1781
"CSNK2A1","MYCN",636,1781
"PRKCA","HLA-A",2299,1261
"SRC","HLA-A",2863,1261
"ERBB2","ERBB2",913,913
"EGFR","ERBB2",838,913
"NTRK1","NTRK1",1966,1966
"CHEK1","TP53",552,3097
"MAPK1","TP53",1638,3097
"PRKDC","TP53",2311,3097
"ATM","TP53",209,3097
"ATR","TP53",221,3097
"PLK3","TP53",2198,3097
"CDK2","TP53",487,3097
"CDK9","TP53",498,3097
"CDK5","TP53",492,3097
"GSK3B","TP53",1164,3097
"PRKCA","TP53",2299,3097
"MAPKAPK5","TP53",1656,3097
"EIF2AK2","TP53",845,3097
"CSNK2A1","TP53",636,3097
"MAPK14","TP53",1643,3097
"HIPK2","TP53",1253,3097
"CSNK1A1","TP53",629,3097
"CSNK1D","TP53",631,3097
"VRK1","TP53",3276,3097
"MAPK8","TP53",1649,3097
"MAPKAPK2","HSPB1",1654,1302
"MAPKAPK3","HSPB1",1655,1302
"GSK3B","APP",1164,136
"CDK5","APP",492,136
"PDPK1","ITGB3",2089,1389
"AKT1","ITGB3",88,1389
"PDK1","ITGB3",2084,1389
"SRC","ITGB3",2863,1389
"PRKCA","HMGN1",2299,1268
"PRKACA","HMGN1",2292,1268
"RPS6KA3","HMGN1",2590,1268
"RPS6KA5","HMGN1",2592,1268
"RPS6KA4","HMGN1",2591,1268
"EIF2AK2","EIF2S1",845,849
"PRKCD","EIF2S1",2301,849
"EIF2AK1","EIF2S1",844,849
"EIF2AK3","EIF2S1",846,849
"PRKCA","HMGN2",2299,1269
"PRKACA","HMGN2",2292,1269
"RPS6KA3","HMGN2",2590,1269
"ADRBK1","RPLP2",58,2577
"CSNK2A1","JUN",636,1408
"PRKDC","JUN",2311,1408
"MAPK8","JUN",1649,1408
"ABL1","JUN",12,1408
"PRKCB","PRKCB",2300,2300
"CDK1","KRT18",475,1507
"PRKCA","KRT18",2299,1507
"RPS6KA3","KRT18",2590,1507
"PRKCE","KRT18",2302,1507
"CAMK2A","KRT18",349,1507
"MAPK3","KRT8",1645,1510
"MAPK1","KRT8",1638,1510
"MAPK8","KRT8",1649,1510
"MAPK14","KRT8",1643,1510
"CSNK2A1","CD5",636,439
"PRKCG","CD5",2303,439
"PRKCB","CD5",2300,439
"PRKCA","CD5",2299,439
"LCK","CD5",1530,439
"FYN","CD5",1050,439
"PRKCA","INSR",2299,1359
"INSR","INSR",1359,1359
"PRKCA","LCK",2299,1530
"PRKACA","LCK",2292,1530
"MAPK3","LCK",1645,1530
"MAPK1","LCK",1638,1530
"SYK","LCK",2963,1530
"LCK","LCK",1530,1530
"CSK","LCK",628,1530
"PDGFRB","FYN",2078,1050
"FYN","FYN",1050,1050
"CSK","FYN",628,1050
"CSK","GSN",628,1165
"CDK2","RB1",487,2459
"CDK1","RB1",475,2459
"CDK4","RB1",491,2459
"CSNK2A1","PGR",636,2116
"CSNK2A1","CDK1",636,475
"PKMYT1","CDK1",2173,475
"CDK7","CDK1",496,475
"LYN","CDK1",1583,475
"WEE1","CDK1",3293,475
"CDK1","CDK1",475,475
"PRKCG","EIF4E",2303,857
"PRKCB","EIF4E",2300,857
"PRKCA","EIF4E",2299,857
"MKNK1","EIF4E",1731,857
"MKNK2","EIF4E",1732,857
"CSNK2A1","GPI",636,1130
"PLK1","NPM1",2196,1931
"CDK2","NPM1",487,1931
"CDK1","NPM1",475,1931
"MAPKAPK2","TH",1654,3046
"CAMK2G","TH",352,3046
"RPS6KA5","TH",2592,3046
"PRKACA","TH",2292,3046
"ABL1","GPX1",12,1138
"ABL2","GPX1",13,1138
"FES","FES",983,983
"CSF1R","CSF1R",625,625
"PRKCA","ANXA2",2299,119
"PRKCB","ANXA2",2300,119
"TTBK1","TUBB",3168,3180
"PRKCD","ADRB2",2301,57
"GRK5","ADRB2",1156,57
"INSR","ADRB2",1359,57
"LCK","CD3E",1530,434
"CSNK2A1","HSP90AA1",636,1296
"PRKDC","HSP90AA1",2311,1296
"CSNK1A1","HNRNPC",629,1278
"CSNK2A2","HNRNPC",637,1278
"CSNK2A1","HNRNPC",636,1278
"YES1","YES1",3327,3327
"LYN","LYN",1583,1583
"CSK","LYN",628,1583
"MATK","LYN",1674,1583
"RET","RET",2502,2502
"PRKCA","GJB1",2299,1100
"PRKACA","GJB1",2292,1100
"MAPK3","SP1",1645,2835
"MAPK1","SP1",1638,2835
"CSNK2A1","SP1",636,2835
"SRC","IGF1R",2863,1329
"PRKCA","RHO",2299,2524
"GRK1","RHO",1154,2524
"PRKACB","NGFR",2293,1890
"PDK1","PDHA1",2084,2079
"PDK3","PDHA1",2086,2079
"PDK2","PDHA1",2085,2079
"PDK4","PDHA1",2087,2079
"MET","MET",1715,1715
"HCK","HCK",1225,1225
"CSK","HCK",628,1225
"PRKCA","VIM",2299,3272
"PRKACA","VIM",2292,3272
"PAK2","VIM",2022,3272
"CDK1","VIM",475,3272
"ROCK1","VIM",2558,3272
"CAMK2D","VIM",351,3272
"PRKCD","ADRA2A",2301,55
"ADRBK1","ADRA2A",58,55
"SRC","VIL1",2863,3271
"CSNK2A2","CLTB",637,587
"CSNK2A1","CLTB",636,587
"AKT1","HMOX1",88,1271
"PDGFRB","PDGFRB",2078,2078
"CSNK2A1","HOXB7",636,1290
"FGR","FGR",994,994
