"KS","Group","id"
"AAK1","OTHER",1
"AANAT","Non-Kinase",2
"AARS2","Non-Kinase",3
"AATF","Non-Kinase",4
"AATK","TK",5
"ABCA1","Non-Kinase",6
"ABCB1","Non-Kinase",7
"ABCC1","Non-Kinase",8
"ABCF1","Non-Kinase",9
"ABCG2","Non-Kinase",10
"ABI1","Non-Kinase",11
"ABL1","TK",12
"ABL2","TK",13
"ABR","ATYPICAL",14
"ABRAXAS1","Non-Kinase",15
"ACACA","Non-Kinase",16
"ACACB","Non-Kinase",17
"ACADVL","Non-Kinase",18
"ACAP1","Non-Kinase",19
"ACAT1","Non-Kinase",20
"ACBD5","Non-Kinase",21
"ACD","Non-Kinase",22
"ACE","Non-Kinase",23
"ACE2","Non-Kinase",24
"ACIN1","Non-Kinase",25
"ACLY","Non-Kinase",26
"ACO1","Non-Kinase",27
"ACO2","Non-Kinase",28
"ACOT4","Non-Kinase",29
"ACP1","Non-Kinase",30
"ACSL4","Non-Kinase",31
"ACSS2","Non-Kinase",32
"ACTN1","Non-Kinase",33
"ACTN4","Non-Kinase",34
"ACTR2","Non-Kinase",35
"ACVR1","TKL",36
"ACVR1B","TKL",37
"ACVR1C","TKL",38
"ACVR2B","TKL",39
"ACVRL1","TKL",40
"ADAM15","Non-Kinase",41
"ADAM17","Non-Kinase",42
"ADAP1","Non-Kinase",43
"ADAR","Non-Kinase",44
"ADARB1","Non-Kinase",45
"ADCK5","ATYPICAL",46
"ADCY3","Non-Kinase",47
"ADCY6","Non-Kinase",48
"ADD1","Non-Kinase",49
"ADD2","Non-Kinase",50
"ADD3","Non-Kinase",51
"ADIPOR1","Non-Kinase",52
"ADRA1B","Non-Kinase",53
"ADRA1D","Non-Kinase",54
"ADRA2A","Non-Kinase",55
"ADRB1","Non-Kinase",56
"ADRB2","Non-Kinase",57
"ADRBK1","AGC",58
"ADRBK2","AGC",59
"AEBP1","Non-Kinase",60
"AFAP1","Non-Kinase",61
"AFAP1L2","Non-Kinase",62
"AFDN","Non-Kinase",63
"AGAP2","Non-Kinase",64
"AGER","Non-Kinase",65
"AGO2","Non-Kinase",66
"AGTR1","Non-Kinase",67
"AHCYL1","Non-Kinase",68
"AHNAK","Non-Kinase",69
"AHNAK2","Non-Kinase",70
"AHR","Non-Kinase",71
"AHSA1","Non-Kinase",72
"AICDA","Non-Kinase",73
"AIFM1","Non-Kinase",74
"AIMP1","Non-Kinase",75
"AIMP2","Non-Kinase",76
"AIP","Non-Kinase",77
"AIRE","Non-Kinase",78
"AJUBA","Non-Kinase",79
"AKAP11","Non-Kinase",80
"AKAP12","Non-Kinase",81
"AKAP13","Non-Kinase",82
"AKAP4","Non-Kinase",83
"AKAP5","Non-Kinase",84
"AKAP8","Non-Kinase",85
"AKAP9","Non-Kinase",86
"AKIRIN2","Non-Kinase",87
"AKT1","AGC",88
"AKT1S1","Non-Kinase",89
"AKT2","AGC",90
"AKT3","AGC",91
"ALDH1A1","Non-Kinase",92
"ALDH2","Non-Kinase",93
"ALDH5A1","Non-Kinase",94
"ALK","TK",95
"ALOX5","Non-Kinase",96
"ALPK1","ATYPICAL",97
"ALPK2","ATYPICAL",98
"ALPK3","ATYPICAL",99
"ALYREF","Non-Kinase",100
"AMBRA1","Non-Kinase",101
"AMFR","Non-Kinase",102
"AMOT","Non-Kinase",103
"AMOTL1","Non-Kinase",104
"AMOTL2","Non-Kinase",105
"AMPH","Non-Kinase",106
"ANAPC1","Non-Kinase",107
"ANAPC4","Non-Kinase",108
"ANAPC7","Non-Kinase",109
"ANKK1","TKL",110
"ANKLE2","Non-Kinase",111
"ANKRD12","Non-Kinase",112
"ANKRD17","Non-Kinase",113
"ANKRD2","Non-Kinase",114
"ANKRD28","Non-Kinase",115
"ANP32A","Non-Kinase",116
"ANP32B","Non-Kinase",117
"ANXA1","Non-Kinase",118
"ANXA2","Non-Kinase",119
"ANXA2P2","Non-Kinase",120
"AP1B1","Non-Kinase",121
"AP1M1","Non-Kinase",122
"AP2B1","Non-Kinase",123
"AP2M1","Non-Kinase",124
"AP3B1","Non-Kinase",125
"APAF1","Non-Kinase",126
"APBA3","Non-Kinase",127
"APBB1","Non-Kinase",128
"APC","Non-Kinase",129
"APEX1","Non-Kinase",130
"APLF","Non-Kinase",131
"APLP2","Non-Kinase",132
"APOBEC3B","Non-Kinase",133
"APOBEC3G","Non-Kinase",134
"APOE","Non-Kinase",135
"APP","Non-Kinase",136
"APPL1","Non-Kinase",137
"APTX","Non-Kinase",138
"AQP1","Non-Kinase",139
"AQP2","Non-Kinase",140
"AQP4","Non-Kinase",141
"AQP5","Non-Kinase",142
"AQP9","Non-Kinase",143
"AR","Non-Kinase",144
"ARAF","TKL",145
"ARAP1","Non-Kinase",146
"AREL1","Non-Kinase",147
"ARFGEF1","Non-Kinase",148
"ARFIP1","Non-Kinase",149
"ARFIP2","Non-Kinase",150
"ARHGAP15","Non-Kinase",151
"ARHGAP17","Non-Kinase",152
"ARHGAP19","Non-Kinase",153
"ARHGAP21","Non-Kinase",154
"ARHGAP22","Non-Kinase",155
"ARHGAP23","Non-Kinase",156
"ARHGAP24","Non-Kinase",157
"ARHGAP26","Non-Kinase",158
"ARHGAP31","Non-Kinase",159
"ARHGAP33","Non-Kinase",160
"ARHGAP35","Non-Kinase",161
"ARHGAP5","Non-Kinase",162
"ARHGAP8","Non-Kinase",163
"ARHGDIA","Non-Kinase",164
"ARHGDIB","Non-Kinase",165
"ARHGEF1","Non-Kinase",166
"ARHGEF15","Non-Kinase",167
"ARHGEF17","Non-Kinase",168
"ARHGEF2","Non-Kinase",169
"ARHGEF4","Non-Kinase",170
"ARHGEF6","Non-Kinase",171
"ARHGEF7","Non-Kinase",172
"ARID1A","Non-Kinase",173
"ARID4A","Non-Kinase",174
"ARMC10","Non-Kinase",175
"ARNT","Non-Kinase",176
"ARPC1B","Non-Kinase",177
"ARPC5","Non-Kinase",178
"ARPP19","Non-Kinase",179
"ARPP21","Non-Kinase",180
"ARRB1","Non-Kinase",181
