"id","GeneID","HGNC","GeneName","group","FullName","color","size","label"
"P00519",25,76,"ABL1","TK","Tyrosine-protein kinase ABL1","#1f77b4",20,"ABL1"
"Q9H1A4",64682,19988,"ANAPC1","Non-kinase","Anaphase-promoting complex subunit 1","#808080",20,"ANAPC1"
"Q9UJX5",29945,19990,"ANAPC4","Non-kinase","Anaphase-promoting complex subunit 4","#808080",20,"ANAPC4"
"Q9UJX3",NA,17380,"ANAPC7","Non-kinase","Anaphase-promoting complex subunit 7","#808080",20,"ANAPC7"
"Q13315",472,795,"ATM","Atypical","Serine-protein kinase ATM","#ff9896",20,"ATM"
"Q13535",545,882,"ATR","Atypical","Serine/threonine-protein kinase ATR","#ff9896",20,"ATR"
"O43683",699,1148,"BUB1","Other","Mitotic checkpoint serine/threonine-protein kinase BUB1","#aec7e8",20,"BUB1"
"O60566",701,1149,"BUB1B","Other","Mitotic checkpoint serine/threonine-protein kinase BUB1 beta","#aec7e8",20,"BUB1B"
"O43684",9184,1151,"BUB3","Non-kinase","Mitotic checkpoint protein BUB3","#808080",20,"BUB3"
"P20248",890,1578,"CCNA2","Non-kinase","Cyclin-A2","#808080",20,"CCNA2"
"P14635",891,1579,"CCNB1","Non-kinase","G2/mitotic-specific cyclin-B1","#808080",20,"CCNB1"
"P24385",595,1582,"CCND1","Non-kinase","G1/S-specific cyclin-D1","#808080",20,"CCND1"
"P30279",894,1583,"CCND2","Non-kinase","G1/S-specific cyclin-D2","#808080",20,"CCND2"
"P30281",896,1585,"CCND3","Non-kinase","G1/S-specific cyclin-D3","#808080",20,"CCND3"
"P24864",898,1589,"CCNE1","Non-kinase","G1/S-specific cyclin-E1","#808080",20,"CCNE1"
"Q9UNH5",8556,1718,"CDC14A","Non-kinase","Dual specificity protein phosphatase CDC14A","#808080",20,"CDC14A"
"Q13042",8881,1720,"CDC16","Non-kinase","Cell division cycle protein 16 homolog","#808080",20,"CDC16"
"Q12834",991,1723,"CDC20","Non-kinase","Cell division cycle protein 20 homolog","#808080",20,"CDC20"
"Q9UJX2",8697,1724,"CDC23","Non-kinase","Cell division cycle protein 23 homolog","#808080",20,"CDC23"
"P30304",993,1725,"CDC25A","Non-kinase","M-phase inducer phosphatase 1","#808080",20,"CDC25A"
"P30305",994,1726,"CDC25B","Non-kinase","M-phase inducer phosphatase 2","#808080",20,"CDC25B"
"P30307",995,1727,"CDC25C","Non-kinase","M-phase inducer phosphatase 3","#808080",20,"CDC25C"
"P30260",996,1728,"CDC27","Non-kinase","Cell division cycle protein 27 homolog","#808080",20,"CDC27"
"Q99741",990,1744,"CDC6","Non-kinase","Cell division control protein 6 homolog","#808080",20,"CDC6"
"O00311",8317,1745,"CDC7","Other","Cell division cycle 7-related protein kinase","#aec7e8",20,"CDC7"
"P06493",983,1722,"CDK1","CMGC","Cyclin-dependent kinase 1","#ffbb78",20,"CDK1"
"P24941",1017,1771,"CDK2","CMGC","Cyclin-dependent kinase 2","#ffbb78",20,"CDK2"
"P11802",1019,1773,"CDK4","CMGC","Cyclin-dependent kinase 4","#ffbb78",20,"CDK4"
"Q00534",1021,1777,"CDK6","CMGC","Cyclin-dependent kinase 6","#ffbb78",20,"CDK6"
"P50613",1022,1778,"CDK7","CMGC","Cyclin-dependent kinase 7","#ffbb78",20,"CDK7"
"P38936",1026,1784,"CDKN1A","Non-kinase","Cyclin-dependent kinase inhibitor 1","#808080",20,"CDKN1A"
"P46527",1027,1785,"CDKN1B","Non-kinase","Cyclin-dependent kinase inhibitor 1B","#808080",20,"CDKN1B"
"P42771",1029,1787,"CDKN2A","Non-kinase","Cyclin-dependent kinase inhibitor 2A","#808080",20,"CDKN2A"
"P55273",1032,1790,"CDKN2D","Non-kinase","Cyclin-dependent kinase 4 inhibitor D","#808080",20,"CDKN2D"
"O14757",1111,1925,"CHEK1","CAMK","Serine/threonine-protein kinase Chk1","#ff7f0e",20,"CHEK1"
