,GeneName,Group
0,AAK1,Other
1,AANAT,Non-kinase
2,AARS2,Non-kinase
3,AATF,Non-kinase
4,AATK,TK
5,ABCA1,Non-kinase
6,ABCB1,Non-kinase
7,ABCC1,Non-kinase
8,ABCF1,Non-kinase
9,ABCG2,Non-kinase
10,ABI1,Non-kinase
11,ABL1,TK
12,ABL2,TK
13,ABR,Atypical
14,ABRAXAS1,Non-kinase
15,ACACA,Non-kinase
16,ACACB,Non-kinase
17,ACADVL,Non-kinase
18,ACAP1,Non-kinase
19,ACAT1,Non-kinase
20,ACBD5,Non-kinase
21,ACD,Non-kinase
22,ACE,Non-kinase
23,ACE2,Non-kinase
24,ACIN1,Non-kinase
25,ACLY,Non-kinase
26,ACO1,Non-kinase
27,ACO2,Non-kinase
28,ACOT4,Non-kinase
29,ACP1,Non-kinase
30,ACSL4,Non-kinase
31,ACSS2,Non-kinase
32,ACTN1,Non-kinase
33,ACTN4,Non-kinase
34,ACTR2,Non-kinase
35,ACVR1,TKL
36,ACVR1B,TKL
37,ACVR1C,TKL
38,ACVR2B,TKL
39,ACVRL1,TKL
40,ADAM15,Non-kinase
41,ADAM17,Non-kinase
42,ADAP1,Non-kinase
43,ADAR,Non-kinase
44,ADARB1,Non-kinase
45,ADCK5,Atypical
46,ADCY3,Non-kinase
47,ADCY6,Non-kinase
48,ADD1,Non-kinase
49,ADD2,Non-kinase
50,ADD3,Non-kinase
51,ADIPOR1,Non-kinase
52,ADRA1B,Non-kinase
53,ADRA1D,Non-kinase
54,ADRA2A,Non-kinase
55,ADRB1,Non-kinase
56,ADRB2,Non-kinase
57,AEBP1,Non-kinase
58,AFAP1,Non-kinase
59,AFAP1L2,Non-kinase
60,AFDN,Non-kinase
61,AGAP2,Non-kinase
62,AGER,Non-kinase
63,AGO2,Non-kinase
64,AGTR1,Non-kinase
65,AHCYL1,Non-kinase
66,AHNAK,Non-kinase
67,AHNAK2,Non-kinase
68,AHR,Non-kinase
69,AHSA1,Non-kinase
70,AICDA,Non-kinase
71,AIFM1,Non-kinase
72,AIMP1,Non-kinase
73,AIMP2,Non-kinase
74,AIP,Non-kinase
75,AIRE,Non-kinase
76,AJUBA,Non-kinase
77,AKAP11,Non-kinase
78,AKAP12,Non-kinase
79,AKAP13,Non-kinase
80,AKAP4,Non-kinase
