"KS","Group"
"CAMK2A","CAMK"
"MAPK14","CMGC"
"PRKAA2","CAMK"
"NEK6","OTHER"
"PDPK1","AGC"
"MAPK7","CMGC"
"PRKCA","AGC"
"CDK19","CMGC"
"CDK2","CMGC"
"ABL1","TK"
"MAPK13","CMGC"
"PRKACA","AGC"
"RPS6KB1","AGC"
"PRKAA1","CAMK"
"RPS6KA1","AGC"
"MAPKAPK2","CAMK"
"MAPKAPK3","CAMK"
"MAPKAPK5","CAMK"
"MAPK8","CMGC"
"MAPK9","CMGC"
"MAPK12","CMGC"
"MAPK11","CMGC"
"STK25","STE"
"AKT1","AGC"
"FYN","TK"
"GRK6","AGC"
"SRC","TK"
"ATR","ATYPICAL"
"NEK2","OTHER"
"EGFR","TK"
"IKBKB","OTHER"
"CHUK","OTHER"
"MAP3K7","TKL"
"PRKCQ","AGC"
"PRKCZ","AGC"
"MAP3K14","STE"
"CSNK2A2","CMGC"
"CSNK2A1","CMGC"
"DMPK","AGC"
"ILK","TKL"
"ROCK1","AGC"
"ROCK2","AGC"
"CSNK1E","CK1"
"CSNK1D","CK1"
"AKT2","AGC"
"PAK1","STE"
"CHEK1","CAMK"
"CHEK2","CAMK"
"ATM","ATYPICAL"
"PRKCD","AGC"
"GSK3B","CMGC"
"MAP2K6","STE"
"TTN","CAMK"
"CDK1","CMGC"
"LYN","TK"
"CSK","TK"
"CAMK1","CAMK"
"MAPK10","CMGC"
"SGK1","AGC"
"NTRK2","TK"
"ZAP70","TK"
"CDK5","CMGC"
"SYK","TK"
"CAMK2G","CAMK"
"HCK","TK"
"JAK2","TK"
"EPHB4","TK"
"DYRK1A","CMGC"
"MAPK3","CMGC"
"MAPK1","CMGC"
"MAP2K1","STE"
"RPS6KA4","AGC"
"PRKCE","AGC"
"PAK3","STE"
"PTK2","TK"
"GRK5","AGC"
"PRKG1","AGC"
"STK10","STE"
"MAP3K6","STE"
"BMPR1B","TKL"
"PAK4","STE"
"PLK1","OTHER"
"PLK3","OTHER"
"ERBB2","TK"
"PDIK1L","OTHER"
"CDK7","CMGC"
"RPS6KA3","AGC"
"LCK","TK"
"PRKCG","AGC"
"PRKCB","AGC"
"ABL2","TK"
"RAF1","TKL"
"PRKCI","AGC"
"TRPM7","ATYPICAL"
"PRKDC","ATYPICAL"
"NTRK1","TK"
"CDK9","CMGC"
"EIF2AK2","OTHER"
"HIPK2","CMGC"
"CSNK1A1","CK1"
"VRK1","CK1"
"PDK1","ATYPICAL"
"RPS6KA5","AGC"
"EIF2AK1","OTHER"
"EIF2AK3","OTHER"
"ADRBK1","AGC"
"INSR","TK"
"PDGFRB","TK"
"CDK4","CMGC"
"PKMYT1","OTHER"
"WEE1","OTHER"
"MKNK1","CAMK"
"MKNK2","CAMK"
"FES","TK"
"CSF1R","TK"
"TTBK1","CK1"
"YES1","TK"
"MATK","TK"
"RET","TK"
"GRK1","AGC"
"PRKACB","AGC"
"PDK3","ATYPICAL"
"PDK2","ATYPICAL"
"PDK4","ATYPICAL"
"MET","TK"
"PAK2","STE"
"CAMK2D","CAMK"
"FGR","TK"
"EPHB2","TK"
"PKN1","AGC"
"PHKG1","CAMK"
"MARK1","CAMK"
"GSK3A","CMGC"
"KIT","TK"
"ITK","TK"
"CDC42BPA","AGC"
"BLK","TK"
"EEF2K","ATYPICAL"
"MAP3K10","TKL"
"JAK1","TK"
