Kinase,Substrate,HighConfidenceSites,LowConfidenceSites,Source
O00141,O00141,1,0,PhosphoSitePlus
O00141,O00213,1,0,PhosphoSitePlus
O00141,O14920,1,0,"PhosphoSitePlus, EPSD:PSEA"
O00141,O15111,1,0,EPSD:RegPhos
O00141,O43524,3,0,"PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PostMod, EPSD:PSEA, EPSD:RegPhos"
O00141,O60343,8,0,PhosphoSitePlus
O00141,P10636,1,0,EPSD:RegPhos
O00141,P14672,1,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:PSEA"
O00141,P15056,1,0,"iPTMNet:hprd, EPSD:PostMod, EPSD:RegPhos, EPSD:Phospho.ELM"
O00141,P16220,2,0,"PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PostMod, EPSD:PSEA, EPSD:RegPhos"
O00141,P25963,1,0,"PhosphoSitePlus, EPSD:PSEA"
O00141,P28482,1,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:PSEA"
O00141,P42858,1,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:PSEA, EPSD:Phospho.ELM"
O00141,P43003,1,0,EPSD:RegPhos
O00141,P45985,1,0,PhosphoSitePlus
O00141,P46527,2,0,"PhosphoSitePlus, EPSD:PSEA"
O00141,P48048,1,0,"EPSD:RegPhos, EPSD:Phospho.ELM"
O00141,P48764,1,0,EPSD:RegPhos
O00141,P49815,6,0,PhosphoSitePlus
O00141,P49840,1,0,"iPTMNet:hprd, EPSD:RegPhos"
O00141,P49841,2,1,"EPSD:RegPhos, PhosphoSitePlus, EPSD:Phospho.ELM"
O00141,Q00987,1,0,"PhosphoSitePlus, EPSD:RegPhos"
O00141,Q12778,1,2,"EPSD:Phospho.ELM, EPSD:PostMod, EPSD:RegPhos"
O00141,Q6R327,1,0,PhosphoSitePlus
O00141,Q92542,1,0,PhosphoSitePlus
O00141,Q92597,7,0,"PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PSEA, EPSD:RegPhos"
O00141,Q969H0,1,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:PSEA"
O00141,Q96J92,3,0,"PhosphoSitePlus, EPSD:PSEA"
O00141,Q96PU5,4,0,"PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PSEA, EPSD:RegPhos"
O00141,Q99759,2,0,"EPSD:Phospho.ELM, EPSD:PostMod, EPSD:RegPhos"
O00141,Q9H4A3,1,0,"PhosphoSitePlus, EPSD:PSEA"
O00141,Q9UN36,4,0,"PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PSEA, EPSD:RegPhos"
O00141,Q9Y2I7,1,0,"PhosphoSitePlus, EPSD:PSEA"
O00141,Q9Y2V2,1,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:PSEA, EPSD:Phospho.ELM"
O00238,Q15796,3,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:Phospho.ELM, iPTMNet:pelm, EPSD:PSEA"
O00238,Q15797,3,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:Phospho.ELM, iPTMNet:pelm, EPSD:PSEA"
O00311,O00311,7,0,PhosphoSitePlus
O00311,O75475,1,0,PhosphoSitePlus
O00311,P06748,2,0,PhosphoSitePlus
O00311,P11388,2,0,PhosphoSitePlus
O00311,P19338,2,0,PhosphoSitePlus
O00311,P49736,11,0,"PhosphoSitePlus, EPSD:RegPhos, EPSD:PSEA"
O00311,P55081,1,0,PhosphoSitePlus
O00311,Q8TEA8,9,0,PhosphoSitePlus
O00311,Q96GD4,1,0,PhosphoSitePlus
O00311,Q9HAW4,9,0,PhosphoSitePlus
O00311,Q9NS91,1,0,"PhosphoSitePlus, EPSD:PSEA"
O00311,Q9UBU7,3,0,PhosphoSitePlus
O00329,O00329,1,0,"PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PSEA, iPTMNet:pelm, EPSD:RegPhos"
O00329,P23443,2,0,EPSD:PSEA
O00418,O00418,9,0,"PhosphoSitePlus, EPSD:PSEA"
O00418,P13639,3,0,"PhosphoSitePlus, iPTMNet:hprd, EPSD:RegPhos"
O00418,P14618,1,0,PhosphoSitePlus
O00418,P40763,1,0,PhosphoSitePlus
O00418,P49841,1,0,PhosphoSitePlus
O00443,O00141,1,0,PhosphoSitePlus
O00443,P41743,1,0,PhosphoSitePlus
O00444,O00444,4,0,"PhosphoSitePlus, EPSD:PSEA"
O00444,O43303,1,0,PhosphoSitePlus
O00444,P61160,2,0,PhosphoSitePlus
O00444,Q15154,1,0,PhosphoSitePlus
O00444,Q15468,2,0,PhosphoSitePlus
O00444,Q8NHV4,6,0,PhosphoSitePlus
O00444,Q8TDX7,1,0,PhosphoSitePlus
O00444,Q969U6,1,0,"PhosphoSitePlus, EPSD:RegPhos"
O00444,Q96T49,1,0,PhosphoSitePlus
O00444,Q9HC77,1,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:PSEA"
O00444,Q9UPN4,3,0,PhosphoSitePlus
O00506,O00506,1,0,EPSD:RegPhos
O00506,P63104,1,0,EPSD:RegPhos
O00506,Q9BSQ5,1,0,PhosphoSitePlus
O00506,Q9BUL8,2,0,"PhosphoSitePlus, EPSD:PSEA"
O14578,P10070,1,0,PhosphoSitePlus
O14578,P11831,0,1,"EPSD:RegPhos, EPSD:PostMod, EPSD:Phospho.ELM"
O14578,P24844,2,0,"PhosphoSitePlus, EPSD:PSEA, EPSD:RegPhos"
O14638,O14638,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14730,Q9BYX4,1,0,PhosphoSitePlus
O14733,O15264,1,0,EPSD:RegPhos
O14733,P27361,0,2,"EPSD:RegPhos, EPSD:Phospho.ELM"
O14733,P28482,0,1,"EPSD:RegPhos, EPSD:Phospho.ELM"
O14733,P45983,2,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:Phospho.ELM, iPTMNet:pelm, EPSD:PSEA"
O14733,P45984,4,0,"EPSD:PostMod, EPSD:RegPhos, PhosphoSitePlus, EPSD:Phospho.ELM, iPTMNet:pelm, EPSD:PSEA"
O14733,P53779,1,0,"PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PSEA, iPTMNet:pelm, EPSD:RegPhos"
O14733,Q02750,0,5,"EPSD:Phospho.ELM, EPSD:PostMod, EPSD:RegPhos"
O14733,Q13158,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14733,Q16539,0,2,"EPSD:RegPhos, EPSD:Phospho.ELM"
O14733,Q9HCC9,0,2,EPSD:RegPhos
O14757,O00716,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14757,O14757,5,0,"PhosphoSitePlus, EPSD:PSEA"
O14757,O15151,2,0,"PhosphoSitePlus, EPSD:RegPhos, EPSD:PSEA"
O14757,O15294,1,0,PhosphoSitePlus
O14757,O15350,1,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:PSEA, EPSD:Phospho.ELM"
O14757,O43395,1,0,PhosphoSitePlus
O14757,O43660,1,0,PhosphoSitePlus
O14757,O60343,2,0,PhosphoSitePlus
O14757,O75151,1,0,PhosphoSitePlus
O14757,O75461,2,0,PhosphoSitePlus
O14757,O75592,1,0,PhosphoSitePlus
O14757,O95625,2,0,PhosphoSitePlus
O14757,O95707,1,0,PhosphoSitePlus
O14757,O95785,1,0,PhosphoSitePlus
O14757,P02545,1,0,PhosphoSitePlus
O14757,P04637,6,0,"PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:RegPhos, EPSD:PSEA"
O14757,P06400,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14757,P06493,1,0,PhosphoSitePlus
O14757,P07814,1,0,PhosphoSitePlus
O14757,P08631,1,0,PhosphoSitePlus
O14757,P11047,1,0,PhosphoSitePlus
O14757,P12931,3,0,PhosphoSitePlus
O14757,P12956,1,0,PhosphoSitePlus
O14757,P15822,1,0,PhosphoSitePlus
O14757,P16989,1,0,PhosphoSitePlus
O14757,P18858,1,0,PhosphoSitePlus
O14757,P19838,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14757,P22626,1,0,PhosphoSitePlus
O14757,P25205,1,0,PhosphoSitePlus
O14757,P26373,1,0,PhosphoSitePlus
O14757,P27816,1,0,PhosphoSitePlus
O14757,P30304,6,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PSEA"
O14757,P30305,2,0,"PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PSEA, EPSD:RegPhos"
O14757,P30307,1,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:PSEA"
O14757,P33991,1,0,"EPSD:RegPhos, EPSD:PostMod, EPSD:Phospho.ELM"
O14757,P33992,1,0,PhosphoSitePlus
O14757,P35611,1,0,PhosphoSitePlus
O14757,P35612,1,0,PhosphoSitePlus
O14757,P36507,1,0,PhosphoSitePlus
O14757,P39748,1,0,PhosphoSitePlus
O14757,P43243,3,0,PhosphoSitePlus
O14757,P43405,1,0,PhosphoSitePlus
O14757,P46013,1,0,PhosphoSitePlus
O14757,P49761,1,0,PhosphoSitePlus
O14757,P49790,2,0,PhosphoSitePlus
O14757,P49792,1,0,PhosphoSitePlus
O14757,P51587,1,0,EPSD:RegPhos
O14757,P52272,1,0,PhosphoSitePlus
O14757,P52292,1,0,PhosphoSitePlus
O14757,P52294,1,0,PhosphoSitePlus
O14757,P53350,2,0,PhosphoSitePlus
