"Kinase","Substrate","Group"
"CAMK2A","CAMK2A","CAMK"
"MAPK14","HNF4A","CMGC"
"PRKAA2","HNF4A","CAMK"
"NEK6","SGK1","OTHER"
"PDPK1","SGK1","AGC"
"MAPK7","SGK1","CMGC"
"PRKCA","SNAP23","AGC"
"CDK19","EIF3F","CMGC"
"CDK2","CDC7","CMGC"
"ABL1","WASL","TK"
"MAPK13","EEF2K","CMGC"
"PRKACA","EEF2K","AGC"
"RPS6KB1","EEF2K","AGC"
"PRKAA2","EEF2K","CAMK"
"PRKAA1","EEF2K","CAMK"
"RPS6KA1","EEF2K","AGC"
"MAPKAPK2","EEF2K","CAMK"
"MAPKAPK3","EEF2K","CAMK"
"MAPKAPK5","EEF2K","CAMK"
"MAPK8","EEF2K","CMGC"
"MAPK9","EEF2K","CMGC"
"MAPK12","EEF2K","CMGC"
"MAPK11","EEF2K","CMGC"
"MAPK14","EEF2K","CMGC"
"STK25","STK25","STE"
"PRKAA2","ACACB","CAMK"
"AKT1","SH2B2","AGC"
"FYN","ARHGAP33","TK"
"CAMK2A","ITGB1BP1","CAMK"
"GRK6","SLC9A3R1","AGC"
"AKT1","TERT","AGC"
"SRC","TERT","TK"
"AKT1","CHEK1","AGC"
"ATR","CHEK1","ATYPICAL"
"NEK2","NDC80","OTHER"
"EGFR","SCAMP3","TK"
"IKBKB","IKBKB","OTHER"
"CHUK","IKBKB","OTHER"
"MAP3K7","IKBKB","TKL"
"PRKCQ","IKBKB","AGC"
"PRKCZ","IKBKB","AGC"
"MAP3K14","IKBKB","STE"
"EGFR","PLD2","TK"
"CSNK2A2","CASQ2","CMGC"
"CSNK2A1","CASQ2","CMGC"
"EGFR","HGS","TK"
"PRKACA","AURKA","AGC"
"DMPK","PPP1R12A","AGC"
"ILK","PPP1R12A","TKL"
"ROCK1","PPP1R12A","AGC"
"ROCK2","PPP1R12A","AGC"
"CSNK1E","PER2","CK1"
"CSNK1D","PER2","CK1"
"PRKCQ","CHUK","AGC"
"MAP3K14","CHUK","STE"
"AKT1","CHUK","AGC"
"AKT2","CHUK","AGC"
"FYN","FYB1","TK"
"EGFR","SCAMP1","TK"
"PAK1","ARPC1B","STE"
"CHEK1","MDM4","CAMK"
"CHEK2","MDM4","CAMK"
"AKT1","MDM4","AGC"
"ATM","MDM4","ATYPICAL"
"PRKCD","PLSCR1","AGC"
"ABL1","PLSCR1","TK"
"GSK3B","AXIN1","CMGC"
"MAP2K6","MAPK13","STE"
"CSNK2A1","SHOX","CMGC"
"TTN","TCAP","CAMK"
"CDK1","FANCG","CMGC"
"CDK1","TP73","CMGC"
"CDK2","TP73","CMGC"
"ABL1","TP73","TK"
"SRC","INPPL1","TK"
"AKT1","FANCA","AGC"
"CSNK2A1","HDAC3","CMGC"
"CDK1","BIRC5","CMGC"
"EGFR","RGS16","TK"
"LYN","RGS16","TK"
"SRC","RGS16","TK"
"CSK","RGS16","TK"
"MAPKAPK2","ARPC5","CAMK"
"PDPK1","PDPK1","AGC"
"SRC","PDPK1","TK"
"PRKACA","CLDN3","AGC"
"MAPK14","ZNHIT1","CMGC"
"MAP3K7","MAP3K7","TKL"
"CAMK1","EIF4G3","CAMK"
"PRKCQ","WIPF1","AGC"
"MAPK8","BCL2L11","CMGC"
"MAPK9","BCL2L11","CMGC"
"MAPK10","BCL2L11","CMGC"
"SGK1","FOXO3","AGC"
"AKT1","FOXO3","AGC"
"PRKCA","KCNQ2","AGC"
"NTRK2","FRS3","TK"
"ZAP70","LAT","TK"
"PRKACA","RGS14","AGC"
"ABL1","PSTPIP1","TK"
"CDK5","DCX","CMGC"
"CDK2","PRC1","CMGC"
"PRKACA","RGS10","AGC"
"CDK1","BUB1","CMGC"
"CSNK2A2","KIF1C","CMGC"
"CSNK2A1","KIF1C","CMGC"
"SYK","TYROBP","TK"
"MAPK9","SH3BP5","CMGC"
"MAPK12","SH3BP5","CMGC"
"PRKACA","PLIN1","AGC"
"CAMK2G","ADCY3","CAMK"
"CDK5","PIP5K1C","CMGC"
"PRKCA","DLX3","AGC"
"LYN","DOK2","TK"
