Entry	Reviewed	Entry Name	Gene Names	Annotation
A0A087X1C5	reviewed	CP2D7_HUMAN	CYP2D7	5.0
A0A0B4J2F0	reviewed	PIOS1_HUMAN	PIGBOS1	5.0
A0A0B4J2F2	reviewed	SIK1B_HUMAN	SIK1B	5.0
A0A0C5B5G6	reviewed	MOTSC_HUMAN	MT-RNR1	5.0
A0A0K2S4Q6	reviewed	CD3CH_HUMAN	CD300H	5.0
A0A0U1RRE5	reviewed	NBDY_HUMAN	NBDY LINC01420	5.0
A0A1B0GTW7	reviewed	CIROP_HUMAN	CIROP LMLN2	5.0
A0A5B9	reviewed	TRBC2_HUMAN	TRBC2 TCRBC2	5.0
A0AV02	reviewed	S12A8_HUMAN	SLC12A8 CCC9	5.0
A0AV96	reviewed	RBM47_HUMAN	RBM47	5.0
A0AVF1	reviewed	IFT56_HUMAN	TTC26 IFT56	5.0
A0AVI4	reviewed	TM129_HUMAN	TMEM129	5.0
A0AVK6	reviewed	E2F8_HUMAN	E2F8	5.0
A0AVT1	reviewed	UBA6_HUMAN	UBA6 MOP4 UBE1L2	5.0
A0FGR8	reviewed	ESYT2_HUMAN	ESYT2 FAM62B KIAA1228	5.0
A0FGR9	reviewed	ESYT3_HUMAN	ESYT3 FAM62C	5.0
A0JLT2	reviewed	MED19_HUMAN	MED19 LCMR1	5.0
A0JNW5	reviewed	UH1BL_HUMAN	UHRF1BP1L KIAA0701 SHIP164	5.0
A0JP26	reviewed	POTB3_HUMAN	POTEB3	5.0
A0M8Q6	reviewed	IGLC7_HUMAN	IGLC7	5.0
A0MZ66	reviewed	SHOT1_HUMAN	SHTN1 KIAA1598	5.0
A0PJK1	reviewed	SC5AA_HUMAN	SLC5A10 SGLT5	5.0
A0PJY2	reviewed	FEZF1_HUMAN	FEZF1 FEZ ZNF312B	5.0
A0PK00	reviewed	T120B_HUMAN	TMEM120B	5.0
A0PK11	reviewed	CLRN2_HUMAN	CLRN2	5.0
A1A4S6	reviewed	RHG10_HUMAN	ARHGAP10 GRAF2	5.0
A1A4Y4	reviewed	IRGM_HUMAN	IRGM IFI1 IRGM1 LRG47	5.0
A1A519	reviewed	F170A_HUMAN	FAM170A ZNFD	5.0
A1A5B4	reviewed	ANO9_HUMAN	ANO9 PIG5 TMEM16J TP53I5	5.0
A1A5C7	reviewed	S22AN_HUMAN	SLC22A23 C6orf85	5.0
A1E959	reviewed	ODAM_HUMAN	ODAM APIN	5.0
A1KXE4	reviewed	F168B_HUMAN	FAM168B KIAA0280L MANI	5.0
A1KZ92	reviewed	PXDNL_HUMAN	PXDNL VPO2	5.0
A1L0T0	reviewed	HACL2_HUMAN	ILVBL AHAS HACL2	5.0
A1L167	reviewed	U2QL1_HUMAN	UBE2QL1	5.0
A1L190	reviewed	SYCE3_HUMAN	SYCE3 C22orf41 THEG2	5.0
A1L390	reviewed	PKHG3_HUMAN	PLEKHG3 KIAA0599	5.0
A1L3X0	reviewed	ELOV7_HUMAN	ELOVL7	5.0
A1L4H1	reviewed	SRCRL_HUMAN	SSC5D	5.0
A1L4K1	reviewed	FSD2_HUMAN	FSD2 SPRYD1	5.0
A1X283	reviewed	SPD2B_HUMAN	SH3PXD2B FAD49 KIAA1295 TKS4	5.0
A1XBS5	reviewed	CBAR1_HUMAN	CIBAR1 FAM92A FAM92A1	5.0
A1Z1Q3	reviewed	MACD2_HUMAN	MACROD2 C20orf133	5.0
A2A288	reviewed	ZC12D_HUMAN	ZC3H12D C6orf95 MCPIP4 TFL	5.0
A2A2Y4	reviewed	FRMD3_HUMAN	FRMD3 EPB41L4O	5.0
A2IDD5	reviewed	CCD78_HUMAN	CCDC78 C16orf25 JFP10	5.0
A2PYH4	reviewed	HFM1_HUMAN	HFM1 SEC3D1	5.0
A2RRP1	reviewed	NBAS_HUMAN	NBAS NAG	5.0
A2RTX5	reviewed	SYTC2_HUMAN	TARS3 TARSL2	5.0
A2RU14	reviewed	TM218_HUMAN	TMEM218	5.0
A2RU30	reviewed	TESP1_HUMAN	TESPA1 KIAA0748 HSPC257	5.0
A2RU49	reviewed	HYKK_HUMAN	HYKK AGPHD1	5.0
A2RUB1	reviewed	MEIOC_HUMAN	MEIOC C17orf104	5.0
