Term,Category,Genes
Protein kinase domain,Catalytic,TNK2 DDR1 GRK5 EPHA4 AKT2 SRC NUAK2 MAP2K5 MINK1 LCK MET MAP3K7 RPS6KA4 MAPK8 JAK1 MARK1 PRKCQ CSNK1A1 PDGFRA TXK GSK3B TLK1 FES HIPK2 LIMK2 MAPK14 PKN1 CLK3 PTK2 MAP3K3 CAMKK2 CAMK2A OXSR1 RPS6KA3 CAMK4 CAMK1D YES1 RET AKT1 TYK2 ABL2 CDK2 CSK INSR MAP2K4 MELK NPR1 SRPK2 DYRK4 NEK8 CDC42BPA STK26 EPHA2 EPHA8 ALK CSF1R BUB1 SNRK CDK9 SRMS IRAK1 ILK ERBB4 CSNK2A1 PTK6 TAOK3 CDK3 CAMK2B ULK3 TLK2 KSR1 DDR2 VRK3 SGK3 LMTK2 FGFR1 TTN ARAF JAK3 AURKA WNK1 MAPK9 MAPK12 GRK6 CAMK2G TP53RK CAMK2D ROCK1 NUAK1 DYRK2 TGFBR1 RPS6KB2 PLK4 SGK1 FGR STK38 PRKCI ERBB3 STK16 TAOK1 CHUK KALRN FGFR4 SLK SIK2 ITK MAPK4 SIK3 RPS6KA5 MAP4K1 MAP3K14 TEK MAP2K6 RPS6KA1 PRKD2 PAK1 HASPIN TTK LATS2 PRKCA EGFR TNK1 MLKL MAP2K1 NLK STK39 MAP3K4 NEK7 PAK6 CASK ROCK2 MAP3K11 NTRK1 PRKCZ CDK13 CDK12 FGFR3 NEK11 PBK LIMK1 MAPK7 GRK4 RPS6KB1 MARK2 CDKL5 LRRK2 MAPK10 PDGFRB MAPK15 CDK7 PKN2 MAPK1 NEK6 PTK2B MAP3K5 FLT3 CDK5 PASK PDPK1 MAPK13 RIPK2 TAOK2 STK25 PAK4 CDK4 RIPK3 IRAK4 MAK PRKG1 BRAF PLK1 CDC7 STK38L ERBB2 PRKCD STK24 FLT1 WEE1 VRK1 FGFR2 GRK1 NEK3 TRIB2 DYRK1A PHKG1 MAPKAPK5 KDR WNK4 MAP3K20 TGFBR2 PRKCB MAP2K7 CDK11B MAP3K8 TRIO PRKACA PINK1 MYO3A MAP3K6 AAK1 GAK SRPK1 KIT CAMK1 MARK3 MERTK PRKAA2 MAPKAPK2 MAP3K1 PEAK1 MAP3K9 TEC MAP4K3 FLT4 CHEK2 AURKB MKNK2 GRK7 PRKD1 PRKD3 MYLK STK10 PKN3 SYK CHEK1 HCK STK3 ERN1 SIK1 NEK9 ABL1 AKT3 PRKAA1 GSK3A NTRK2 LRRK1 EPHB3 CSNK1E IKBKB LYN JAK2 MARK4 IKBKE BMX EIF2AK3 EPHB2 TNIK DAPK2 SGK2 NEK2 PAK5 RIPK1 MAP2K3 DAPK3 RAF1 SCYL1 CDC42BPB EPHB1 RPS6KA2 DYRK1B MAPK11 AXL EIF2AK2 MAPK3 BTK STK11 CDK1 ULK1 TESK1 EPHA3 RPS6KA6 BRSK2 BRSK1 CAMKK1 TBK1 MAPK6 CSNK1D ZAP70 MKNK1 STRADA PIM1 IGF1R PAK3 MST1R MAP2K2 NIM1K DAPK1 NEK1 LATS1 STK33 CLK2 PRKCH CDK16 PAK2 ULK2 CDK6 STK4 FER GRK2 PKMYT1 TEX14 MASTL FYN PRKCE
"Serine-threonine/tyrosine-protein kinase, catalytic domain",Catalytic,TNK2 DDR1 EPHA4 SRC LCK MET MAP3K7 TXK JAK1 PDGFRA FES LIMK2 PTK2 YES1 RET ABL2 INSR TYK2 CSK NPR1 EPHA8 EPHA2 ALK CSF1R SRMS ILK ERBB4 PTK6 KSR1 FGFR1 DDR2 LMTK2 ARAF JAK3 FGR ERBB3 FGFR4 ITK TEK EGFR TNK1 MLKL NEK7 MAP3K11 NTRK1 FGFR3 LIMK1 PDGFRB NEK6 PTK2B FLT3 RIPK2 IRAK4 BRAF ERBB2 FLT1 FGFR2 KDR MAP3K20 TGFBR2 MERTK KIT MAP3K9 TEC FLT4 SYK HCK ABL1 NTRK2 EPHB3 LYN JAK2 BMX EPHB2 RIPK1 RAF1 EPHB1 AXL BTK EPHA3 TESK1 ZAP70 IGF1R MST1R FER TEX14 FYN
"Tyrosine-protein kinase, catalytic domain",Catalytic,DDR2 TNK2 DDR1 FGFR1 EPHA4 SRC SYK JAK3 HCK PDGFRB LCK MET ABL1 TXK JAK1 NTRK2 PDGFRA PTK2B FLT3 EPHB3 FES LYN JAK2 PTK2 FGR BMX EPHB2 ERBB2 FLT1 FGFR4 YES1 FGFR2 EPHB1 FYN RET ITK TYK2 INSR ABL2 CSK AXL TEK KDR BTK EPHA3 EPHA8 EPHA2 ALK EGFR CSF1R ZAP70 TNK1 IGF1R MST1R SRMS ERBB4 MERTK KIT PTK6 FER NTRK1 TEC FLT4 FGFR3
SH2 domain,Cytoplasmic,STAT1 SRC STAT6 SYK JAK3 HCK SHC1 LCK RIN1 ABL1 TXK JAK1 TNS3 GRB7 STAT2 SOCS1 INPPL1 DAPP1 PLCG1 FES CHN2 GRB2 BLNK LYN JAK2 FGR GRB14 STAP2 SH2D4A BMX PTPN11 PIK3R3 VAV3 STAT4 SOCS3 GRAP2 SHC3 YES1 SH2B2 FYN SH3BP2 SH2B3 ABL2 TYK2 CRK CSK ITK STAT3 SLA PIK3R1 SUPT6H VAV2 BTK PTPN6 LCP2 VAV1 ZAP70 PLCG2 SRMS CRKL GRB10 PTK6 SH2B1 NCK1 FER RASA1 TEC STAT5B SHC4 SH2D2A STAT5A
"AGC-kinase, C-terminal",Catalytic,SGK3 GRK5 AKT2 GRK4 RPS6KB1 PKN3 GRK6 AKT3 PRKCQ PKN2 RPS6KA4 ROCK1 PRKCZ RPS6KB2 PKN1 SGK1 PRKG1 STK38 STK38L SGK2 PRKCI PRKCD RPS6KA3 GRK1 RPS6KA2 CDC42BPB AKT1 RPS6KA5 CDC42BPA RPS6KA1 PRKCB RPS6KA6 LATS2 PRKCA PRKACA LATS1 PRKCH ROCK2 GRK2 MASTL PRKCE GRK7
"Protein kinase, C-terminal",Catalytic,SGK3 AKT2 RPS6KB1 PKN3 PKN2 PRKCQ RPS6KA4 AKT3 RPS6KB2 PKN1 SGK1 STK38 PRKCI SGK2 PRKCD STK38L RPS6KA3 RPS6KA2 AKT1 RPS6KA5 CDC42BPA RPS6KA1 PRKCB RPS6KA6 LATS2 PRKCA PRKCH PRKCZ PRKCE
SH3 domain,Cytoplasmic,TNK2 SRC ARHGEF4 STAM2 LCK TXK SKAP1 PLCG1 BAIAP2L1 YES1 DBNL LASP1 ABL2 CRK CSK FYB1 SORBS3 SPTAN1 DSP SRMS NPHP1 CRKL OSTF1 PACSIN1 PTK6 CACNB2 NEDD9 PACSIN2 ABI1 FGR KALRN ITK BCAR1 DLG1 NCKIPSD NCF1 TNK1 PLCG2 HCLS1 CASK AMPH NCK1 DLG4 MAPK8IP1 MAP3K11 SASH1 EPS8 SH3GLB1 NCF2 NOXA1 SH3GL1 DLG5 ARHGEF7 ARHGEF6 PIK3R1 VAV2 VAV1 ARHGAP33 DLG3 MACC1 TRIO SH3GL2 TRIP10 PPP1R13L MAP3K9 TEC CTTN HCK ABL1 TP53BP2 GRB2 LYN PSTPIP1 BAIAP2 SH3BP4 DLG2 DOCK2 VAV3 GRAP2 BIN1 SLA BTK SH3PXD2B NOXO1 SH3RF1 PLEC DOCK1 SORBS2 NGEF RASA1 MACF1 FYN NCF4
Pleckstrin homology domain,Cytoplasmic,GAB2 AKT2 ARHGEF4 GAB1 ARHGAP15 GRB7 SKAP1 PLCG1 BCR SPTBN1 PLEK DGKD RASAL2 GRB14 IRS1 FERMT2 SH2B3 SH3BP2 AKT1 TRIOBP PLEKHG1 CDC42BPA RAPH1 PLEKHG6 OSBPL11 GRB10 RASGRF2 ADAP1 SNTA1 ROCK1 PHLPP1 NET1 AKAP13 ELMO1 ARHGAP23 KALRN ITK AFAP1L2 PRKD2 DEF6 PLCG2 AFAP1 ASAP3 ROCK2 SH2B1 PREX1 PHLDA1 FERMT3 DNM2 PREX2 DAPP1 TIAM1 ARHGEF7 RTKN RASGRF1 ARHGEF6 ARAP1 VAV2 ACAP1 VAV1 IRS4 ARHGAP22 CYTH2 CNKSR1 TRIO DOK2 PLD1 SYNGAP1 ARHGAP21 DNM1 TEC PLEKHG2 PRKD1 PRKD3 SPTBN4 APPL1 AKT3 ARHGEF2 PLD2 CYTH1 BMX VAV3 SH2B2 CDC42BPB ELMO2 AGAP2 BTK ARHGAP24 IRS2 ARHGEF1 DOK1 OSBP2 DAB2IP NGEF RASA1 SOS1 GRK2 OSBP
"Nuclear hormone receptor, ligand-binding domain",Nuclear,NR4A3 NR3C2 RORA PPARG NR4A1 RORC NR1I2 NR1H4 NR0B2 PGR NR1D1 NR5A2 NR1I3 VDR AR RARA NR5A1 ESR1 NR2F6 PPARD RARG NR3C1 THRB PPARA NR1H3 NR1H2 RXRA HNF4A NR4A2 ESR2
"Zinc finger, nuclear hormone receptor-type",Nuclear,NR4A3 NR3C2 RORA PPARG NR4A1 RORC NR1I2 NR1H4 PGR NR1D1 NR5A2 NR1I3 VDR AR RARA NR5A1 PPARD ESR1 NR2F6 RARG NR3C1 THRB PPARA NR1H3 NR1H2 RXRA HNF4A NR4A2 ESR2
