UniProt,GeneName,Group,FullName
Q2M2I8,AAK1,Other,Ap2 associated kinase 1
Q16613,AANAT,Non-kinase,Aralkylamine n-acetyltransferase
Q5JTZ9,AARS2,Non-kinase,"Alanyl-trna synthetase 2, mitochondrial"
Q9NY61,AATF,Non-kinase,Apoptosis antagonizing transcription factor
O95477,ABCA1,Non-kinase,Atp binding cassette subfamily a member 1
P08183,ABCB1,Non-kinase,Atp binding cassette subfamily b member 1
P33527,ABCC1,Non-kinase,Atp binding cassette subfamily c member 1
Q8NE71,ABCF1,Non-kinase,Atp binding cassette subfamily f member 1
Q9UNQ0,ABCG2,Non-kinase,Atp binding cassette subfamily g member 2 (junior blood group)
Q8IZP0,ABI1,Non-kinase,Abl interactor 1
P00519,ABL1,TK,"Abl proto-oncogene 1, non-receptor tyrosine kinase"
P42684,ABL2,TK,"Abl proto-oncogene 2, non-receptor tyrosine kinase"
Q6UWZ7,ABRAXAS1,Non-kinase,"Abraxas 1, brca1 a complex subunit"
Q13085,ACACA,Non-kinase,Acetyl-coa carboxylase alpha
O00763,ACACB,Non-kinase,Acetyl-coa carboxylase beta
P49748,ACADVL,Non-kinase,Acyl-coa dehydrogenase very long chain
Q15027,ACAP1,Non-kinase,"Arfgap with coiled-coil, ankyrin repeat and ph domains 1"
P24752,ACAT1,Non-kinase,Acetyl-coa acetyltransferase 1
Q5T8D3,ACBD5,Non-kinase,Acyl-coa binding domain containing 5
Q96AP0,ACD,Non-kinase,Acd shelterin complex subunit and telomerase recruitment factor
P12821,ACE,Non-kinase,Angiotensin i converting enzyme
Q9BYF1,ACE2,Non-kinase,Angiotensin converting enzyme 2
Q9UKV3,ACIN1,Non-kinase,Apoptotic chromatin condensation inducer 1
P53396,ACLY,Non-kinase,Atp citrate lyase
P21399,ACO1,Non-kinase,Aconitase 1
Q8N9L9,ACOT4,Non-kinase,Acyl-coa thioesterase 4
P24666,ACP1,Non-kinase,Acid phosphatase 1
O60488,ACSL4,Non-kinase,Acyl-coa synthetase long chain family member 4
Q9NR19,ACSS2,Non-kinase,Acyl-coa synthetase short chain family member 2
P12814,ACTN1,Non-kinase,Actinin alpha 1
P61160,ACTR2,Non-kinase,Actin related protein 2
